{'regions': [4.96, 4.9], 'path-length': [26.9, 27.22], 'path-imp': [12.82, 13.14], 'path-change': [9.84, 3.3], 'iterations': [313.98, 313.98], 'changes': [46.1, 31.9], 'steps': [313.98, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [32.04, 28.0]}
{'regions': [4.2, 4.04], 'path-length': [28.82, 28.94], 'path-imp': [11.76, 11.88], 'path-change': [8.68, 3.2], 'iterations': [628.86, 628.86], 'changes': [46.94, 29.6], 'steps': [628.86, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [23.98, 27.7]}
{'regions': [3.92, 3.86], 'path-length': [32.02, 32.04], 'path-imp': [13.86, 13.88], 'path-change': [10.84, 3.04], 'iterations': [503.66, 503.66], 'changes': [47.04, 29.6], 'steps': [503.66, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [29.84, 31.34]}
{'regions': [4.72, 4.56], 'path-length': [28.06, 28.78], 'path-imp': [13.4, 14.12], 'path-change': [10.62, 3.5], 'iterations': [404.54, 404.54], 'changes': [44.64, 31.72], 'steps': [404.54, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [30.62, 30.4]}
{'regions': [3.8, 3.66], 'path-length': [28.78, 28.78], 'path-imp': [14.0, 14.0], 'path-change': [7.34, 6.66], 'iterations': [263.72, 263.72], 'changes': [46.3, 30.84], 'steps': [263.72, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [35.44, 43.46]}
{'regions': [3.76, 3.62], 'path-length': [30.56, 30.72], 'path-imp': [13.64, 13.8], 'path-change': [12.24, 1.56], 'iterations': [381.06, 381.06], 'changes': [46.52, 30.8], 'steps': [381.06, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [31.54, 28.26]}
{'regions': [5.04, 4.88], 'path-length': [28.28, 28.32], 'path-imp': [14.5, 14.54], 'path-change': [8.8, 5.74], 'iterations': [422.7, 422.7], 'changes': [46.48, 30.92], 'steps': [422.7, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [25.2, 31.94]}
{'regions': [4.76, 4.54], 'path-length': [29.6, 29.62], 'path-imp': [14.8, 14.82], 'path-change': [10.42, 4.4], 'iterations': [383.88, 383.88], 'changes': [46.76, 31.24], 'steps': [383.88, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [29.92, 28.5]}
{'regions': [4.74, 4.62], 'path-length': [30.22, 30.56], 'path-imp': [15.38, 15.72], 'path-change': [7.72, 8.0], 'iterations': [715.74, 715.74], 'changes': [48.0, 29.68], 'steps': [715.74, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [25.62, 32.3]}
{'regions': [4.62, 4.58], 'path-length': [30.56, 30.7], 'path-imp': [14.3, 14.44], 'path-change': [12.24, 2.2], 'iterations': [377.46, 377.46], 'changes': [48.14, 29.56], 'steps': [377.46, 0.0], 'max_iterations': [15288.0, 15288.0], 'max_changes': [78.0, 78.0], 'reward': [25.54, 23.8]}
